product_id,product_name,product_brand,rating,no_of_reviews,current_price,original_price
240930,  Big House 6 Vestibule,Big Agnes,0.0,0,149.73,199.95
240929,  Big House 4 Vestibule,Big Agnes,5.0,1,134.73,179.95
240927,  Big House 4 Footprint,Big Agnes,0.0,0,34.73,50.0
240926,  Big House 6 Tent,Big Agnes,0.0,0,449.73,599.95
240924,  Mica Basin Camp Chair - XL,Big Agnes,0.0,0,149.73,199.95
240919,  Torchlight UL 20 Sleeping Bag - Women's,Big Agnes,0.0,0,334.73,449.95
240915,  Sand Wash Car Tarp,Big Agnes,0.0,0,299.73,399.95
240811,  Journey JoI 30 Down Sleeping Bag - Women's Long,Sea to Summit,0.0,0,219.73,319.0
240809,  Flame Fm I Down Sleeping Bag - Women's,Sea to Summit,0.0,0,249.73,
240808,  Altitude AtII 15F Down Sleeping Bag - Women's Long,Sea to Summit,0.0,0,324.73,469.0
240806,  Trek Tk I 30 Down Sleeping Bag,Sea to Summit,0.0,0,209.73,
240804,  Glow Gw I 50 Synthetic Quilt,Sea to Summit,0.0,0,119.73,
240800,  X-Pot Kettle - 1.3 Liters,Sea to Summit,0.0,0,34.73,49.95
240749,  2-in-1 Heater-Stove,Ignik,2.0,2,99.73,149.95
240609,  Sportlite 20 Pack,Osprey,0.0,0,66.73,90.0
239244,  Garnet 60 L Pack - Women's,Big Agnes,0.0,0,209.73,299.95
236608,  Nordic Down 3-Season Sleeping Bag - Long,Mammut,3.0,1,214.73,309.95
234847,  Shoutout ChromaPop Glass Polarized Sunglasses,Smith,5.0,1,179.73,249.0
234841,  Longfin ChromaPop Polarized Glass Sunglasses,Smith,0.0,0,169.73,239.0
234840,  Rockaway ChromaPop Polarized Sunglasses - Women's,Smith,0.0,0,149.73,209.0
234839,  Rockaway ChromaPop Polarized Glass Sunglasses - Women's,Smith,4.4,47,184.73,259.0
234838,  Joya ChromaPop Polarized Sunglasses - Women's,Smith,0.0,0,149.73,209.0
234623,  Beyond Polarized Sunglasses - Women's,Suncloud,0.0,0,39.73,54.95
233720,  Bishop Pass GORE-TEX 15 Sleeping Bag - Short,Mountain Hardwear,0.0,0,288.73,385.0
233719,  Bishop Pass GORE-TEX 15 Sleeping Bag - Long,Mountain Hardwear,2.3,3,307.73,410.0
233712,  Lamina 15 Sleeping Bag - Short,Mountain Hardwear,0.0,0,164.73,220.0
233697,  Lamina 30 Sleeping Bag,Mountain Hardwear,0.0,0,157.73,210.0
233695,  Phantom 30 Sleeping Bag - Short,Mountain Hardwear,4.3,6,352.73,470.0
233686,  Yawn Patrol 30 Sleeping Bag - Long,Mountain Hardwear,3.5,2,221.73,295.0
230938,  Outpost 2 Tent,Mountain Hardwear,3.0,1,489.73,700.0
229117,  Monarch XL Sunglasses,Dragon,0.0,0,84.73,145.0
229004,  PackOut Graphic Dry Bag - 15 L,Outdoor Research,5.0,1,16.73,31.0
224624,  PackOut Graphic Stuff Sack - 35 L,Outdoor Research,5.0,2,22.73,33.0
224623,  PackOut Graphic Stuff Sack - 20 L,Outdoor Research,4.0,2,16.73,25.0
184652,  Kayu 15 Sleeping Bag - Men's - Long,NEMO,3.0,4,314.73,419.95
184628,  Brila 550 Headlamp,ust,3.3,7,36.73,51.99
130672,  60 Day Duro Lantern,ust,3.0,2,59.73,89.99
187693,  Copper Canyon LX 6-Person Tent,Eureka,3.7,62,246.93,329.95
214932,  Warnick Sensor Gloves,Outdoor Research,4.3,4,92.73,140.0
227816,  Zulu 55 Pack - Men's,Gregory,4.8,48,164.73,219.95
227815,  Jade 63 Pack - Women's,Gregory,5.0,1,186.73,249.95
233718,  Bishop Pass GORE-TEX 15 Sleeping Bag,Mountain Hardwear,0.0,0,296.73,395.0
170998,  Freeform Zero Gravity Lounger,GCI Outdoor,4.1,72,76.93,110.0
227814,  Jade 53 Pack - Women's,Gregory,4.6,36,164.73,219.95
187692,  Space Camp 4-Person Tent,Eureka,4.4,40,314.93,419.95
222440,  Baltoro 65 Pack - Men's,Gregory,4.7,88,224.73,299.95
193530,  Tempest 9 Pack - Women's,Osprey,5.0,2,104.73,140.0
228248,  AeroLight Transit Bottle - 16 fl. oz.,Stanley,4.6,61,20.93,30.0
189513,  Lined Heavy-Duty Premium Grain and Suede Pigskin Mittens with Knit Wrists,Kinco,4.2,21,44.73,63.99
183035,  Pro Wearable Sleeping Bag,Selk'Bag,4.5,6,200.93,269.0
202732,  Skyward 4 Footprint,REI Co-op,4.7,7,30.93,44.95
233414,  Riff 30 Sleeping Bag - Women's,NEMO,0.0,0,291.73,389.95
233701,  Lamina 0 Sleeping Bag - Short,Mountain Hardwear,5.0,1,179.73,240.0
220917,  Jade 33 Pack - Women's,Gregory,4.6,28,119.73,169.95
198916,  Lite Recycled Wearable Sleeping Bag,Selk'Bag,4.2,14,110.93,149.0
198917,  Original Recycled Wearable Sleeping Bag,Selk'Bag,4.1,19,148.93,199.0
202733,  Skyward 6 Footprint,REI Co-op,5.0,2,37.93,54.95
216646,  Aerios 30 Pack - Men's,Arc'teryx,3.9,40,141.93,190.0
165541,  Mover Vacuum Water Bottle with Union Top - 18 fl. oz.,Purist,3.8,24,39.93,50.0
161996,  Founder Vacuum Water Bottle with Union Top - 32 fl. oz.,Purist,3.9,23,45.93,58.0
187694,  Space Camp 6-Person Tent,Eureka,4.0,22,389.93,519.95
218852,  R-Jaunt 20 L Cooler,IceMule,5.0,3,126.93,169.95
218851,  Clear 15 L Cooler,IceMule,5.0,1,54.93,109.95
206560,  TKWide Recycled Insulated Water Bottle with Twist Cap - 32 fl. oz.,Klean Kanteen,3.9,25,30.93,44.95
226146,  Foot Warmer XLP 2C BT Set,Hotronic,1.0,1,313.93,449.0
204108,  Wyoming Trail 4 Tent,Big Agnes,4.0,3,599.93,999.95
189406,  Copper Canyon LX 6-Person Tent Footprint,Eureka,4.0,9,36.93,49.95
829844,  Reflective Utility Cord Kit,MSR,4.3,31,24.93,36.95
218364,  Air-Deck Raised Platform Bed - Medium,FLATED,0.0,0,518.93,649.0
227281,  Twyford Waterproof Cold-Weather Work Gloves with Fusion Control,Sealskinz,4.0,3,76.93,110.0
188476,  QuickDraw Water Filter,Platypus,3.0,37,23.93,39.95
215671,  SP0019 Rimless Shield Sunglasses,adidas,5.0,3,47.93,69.0
168206,  Passage 2/Trail Hut 2/Groundbreaker 2 Footprint,REI Co-op,3.8,5,27.93,39.95
895448,  Bugaboo Mess Kit,GSI Outdoors,4.3,32,25.93,34.95
204191,  Tanami Tm II Down Camping Comforter,Sea to Summit,5.0,3,298.93,399.0
166788,  AMG 55 Pack,Mountain Hardwear,3.9,25,289.93,420.0
206322,  Wawona Front Porch Vestibule,The North Face,2.5,4,138.93,199.0
189405,  Copper Canyon LX 4-Person Tent Footprint,Eureka,4.7,7,29.93,39.95
189402,  NoBugZone 3-in-1 Shelter,Eureka,2.8,18,230.93,329.95
207634,  Shakshuka - 1 Serving,AlpineAire Foods,3.6,5,10.93,14.95
215675,  SP0045 Injected Navigator Sunglasses,adidas,5.0,2,97.93,
204216,  Wyoming Trail 2 Footprint,Big Agnes,4.5,2,47.93,80.0
161521,  Heatbank 3 Rechargeable Hand Warmer and Power Bank,Zippo,4.0,34,18.93,27.95
183291,  HeatBank 9s Plus Rechargeable Hand Warmer and Power Bank,Zippo,4.0,25,35.93,51.95
225043,  Enamel Tumblers - Package of 2,Barebones,5.0,2,21.93,30.0
147306,  Universal Footprint 1 Large,MSR,2.6,49,25.83,51.95
190384,  MicroLite 500 Flip Vacuum Mug - 17 fl. oz.,GSI Outdoors,4.8,32,13.93,27.95
232838,  H20 Precut Kinesiology Tape,RockTape,0.0,0,18.93,28.0
225084,  CozyHemp Blanket,Rumpl,4.0,2,111.93,150.0
214274,  Clip Series Ceramic Nonstick 3-Piece Saucepan Set with Removable Handle - 1.7 and 3.3 qts.,GreenPan,2.5,2,51.93,70.0
189408,  Space Camp 6-Person Tent Footprint,Eureka,4.3,4,51.93,69.95
217992,  Outward Hammock,REI Co-op,4.4,11,98.83,199.0
226669,  3-Piece Essentials Prep Set,GreenPan,4.7,15,44.93,60.0
221691,  Glacier Stainless Spork and Sticks,GSI Outdoors,5.0,1,10.93,14.95
228235,  SP0077 Sunglasses,adidas,0.0,0,68.93,99.0
187526,  Katmai 65 Pack - Men's Plus Sizes,Gregory,4.9,14,229.93,309.95
182980,  Aluminum Bear Sack Liner - 15 Liters,Ursack,0.0,0,24.93,49.95
101561,  Keg Cap Accessory Kit,DrinkTanks,3.2,11,19.83,50.0
226670,  3-Piece Knife and Board Set,GreenPan,0.0,0,36.93,50.0
232839,  Precut Kinesiology Tape,RockTape,0.0,0,17.93,26.0
220769,  FeatheredFriend Dog Leash,Wolfgang Man & Beast,0.0,0,16.93,24.95
221131,  FeatheredFriend Dog Collar,Wolfgang Man & Beast,5.0,2,11.93,
228290,  Flea+Tick Relief! Plant-Powered Dog Shampoo,kin+kind,0.0,0,12.93,19.0
147784,  Big Zip EVO Filter Connect Kit,Platypus,2.5,4,10.93,15.95
196955,  Undercoat Water Jacket,Ruffwear,4.6,5,55.93,79.95
226149,  XLP 1C Power Set,Hotronic,0.0,0,208.93,299.0
226147,  XLP 1P Bluetooth Surround Comfort Heat Socks Set,Hotronic,1.0,2,288.93,413.0
225647,  Waterproof Reflective Leash,Cycle Dog,2.3,4,20.93,30.0
225646,  Waterproof Reflective Dog Collar,Cycle Dog,0.0,0,20.93,30.0
227815,  Jade 63 Pack - Women's,Gregory,5.0,1,186.73,249.95
233718,  Bishop Pass GORE-TEX 15 Sleeping Bag,Mountain Hardwear,0.0,0,296.73,395.0
196955,  Undercoat Water Jacket,Ruffwear,4.6,5,55.93,79.95
227814,  Jade 53 Pack - Women's,Gregory,4.6,36,164.73,219.95
222440,  Baltoro 65 Pack - Men's,Gregory,4.7,88,224.73,299.95
197938,  XLP PFI 50 Surround Comfort Heat Socks,Hotronic,2.8,4,51.83,
187526,  Katmai 65 Pack - Men's Plus Sizes,Gregory,4.9,14,229.93,309.95
187527,  Kalmia 60 Pack - Women's Plus Sizes,Gregory,4.9,37,229.93,309.95
184904,  PCT 50 L Pack - Women's,Mountain Hardwear,4.2,5,209.93,280.0
193530,  Tempest 9 Pack - Women's,Osprey,5.0,2,104.73,140.0
206781,  UNLTD AntiGravity 64 Pack - Women's,Osprey,5.0,1,524.93,700.0
206700,  UNLTD AirScape 68 Pack - Women's,Osprey,4.0,2,524.93,700.0
189513,  Lined Heavy-Duty Premium Grain and Suede Pigskin Mittens with Knit Wrists,Kinco,4.2,21,44.73,63.99
233701,  Lamina 0 Sleeping Bag - Short,Mountain Hardwear,5.0,1,179.73,240.0
220917,  Jade 33 Pack - Women's,Gregory,4.6,28,119.73,169.95
233414,  Riff 30 Sleeping Bag - Women's,NEMO,0.0,0,291.73,389.95
207301,  Silicone Collar,Herzog,4.4,13,28.93,42.0
189572,  Switchbak Dog Harness,Ruffwear,4.4,19,48.93,69.95
126715,  Ariel Pro 65 Pack - Women's,Osprey,4.4,5,299.93,400.0
231016,  S/F Expandable Hip Pack,Fjallraven,5.0,4,71.93,120.0
223008,  Sidewinder SL 35 Sleeping Bag - Women's,Big Agnes,0.0,0,147.73,269.95
111308,  IsoForm5 Pack Harness Shoulder Straps - Women's,Osprey,0.0,0,11.83,40.0
240794,  Mesh Stuff Sack - Set of 3,Sea to Summit,0.0,0,20.73,29.95
240207,  Terravia Pack 14 L,Patagonia,0.0,0,74.73,109.0
239245,  Sun Dog 45 L Pack - Women's,Big Agnes,5.0,1,159.73,229.95
237907,  Trail Back Trekking Poles - Pair,Black Diamond,5.0,2,74.73,99.95
235022,  Hot Cap Insulated Stainless-Steel Travel Mug - 20 fl. oz.,CamelBak,4.2,14,16.73,27.0
234493,  Micro Vario Carbon Trekking Poles - Pair - Women's,Leki,0.0,0,139.73,199.95
233754,  Seek FC Sunglasses,Tifosi,5.0,3,42.73,79.95
232441,  Deep Creek Tarp - Medium,Big Agnes,5.0,1,147.73,249.95
240800,  X-Pot Kettle - 1.3 Liters,Sea to Summit,0.0,0,34.73,49.95
240749,  2-in-1 Heater-Stove,Ignik,2.0,2,99.73,149.95
240609,  Sportlite 20 Pack,Osprey,0.0,0,66.73,90.0
239244,  Garnet 60 L Pack - Women's,Big Agnes,0.0,0,209.73,299.95
236608,  Nordic Down 3-Season Sleeping Bag - Long,Mammut,3.0,1,214.73,309.95
234847,  Shoutout ChromaPop Glass Polarized Sunglasses,Smith,5.0,1,179.73,249.0
234841,  Longfin ChromaPop Polarized Glass Sunglasses,Smith,0.0,0,169.73,239.0
234840,  Rockaway ChromaPop Polarized Sunglasses - Women's,Smith,0.0,0,149.73,209.0
234839,  Rockaway ChromaPop Polarized Glass Sunglasses - Women's,Smith,4.4,47,184.73,259.0
234838,  Joya ChromaPop Polarized Sunglasses - Women's,Smith,0.0,0,149.73,209.0
234623,  Beyond Polarized Sunglasses - Women's,Suncloud,0.0,0,39.73,54.95
233720,  Bishop Pass GORE-TEX 15 Sleeping Bag - Short,Mountain Hardwear,0.0,0,288.73,385.0
233719,  Bishop Pass GORE-TEX 15 Sleeping Bag - Long,Mountain Hardwear,2.3,3,307.73,410.0
233712,  Lamina 15 Sleeping Bag - Short,Mountain Hardwear,0.0,0,164.73,220.0
233697,  Lamina 30 Sleeping Bag,Mountain Hardwear,0.0,0,157.73,210.0
233695,  Phantom 30 Sleeping Bag - Short,Mountain Hardwear,4.3,6,352.73,470.0
233686,  Yawn Patrol 30 Sleeping Bag - Long,Mountain Hardwear,3.5,2,221.73,295.0
230938,  Outpost 2 Tent,Mountain Hardwear,3.0,1,489.73,700.0
229117,  Monarch XL Sunglasses,Dragon,0.0,0,84.73,145.0
229004,  PackOut Graphic Dry Bag - 15 L,Outdoor Research,5.0,1,16.73,31.0
224624,  PackOut Graphic Stuff Sack - 35 L,Outdoor Research,5.0,2,22.73,33.0
224623,  PackOut Graphic Stuff Sack - 20 L,Outdoor Research,4.0,2,16.73,25.0
184652,  Kayu 15 Sleeping Bag - Men's - Long,NEMO,3.0,4,314.73,419.95
184628,  Brila 550 Headlamp,ust,3.3,7,36.73,51.99
130672,  60 Day Duro Lantern,ust,3.0,2,59.73,89.99
160276,  Original Puffy Recycled Blanket,Rumpl,4.8,1001,92.93,
189519,  Front Range Dog Day Pack,Ruffwear,4.5,44,55.93,79.95
205490,  Swamp Cooler Dog Vest,Ruffwear,4.8,14,55.93,79.95
176598,  Original Puffy Blanket - National Park,Rumpl,4.8,676,92.93,125.0
203789,  Standard Issue 8 x 25 Waterproof Binoculars,Nocs Provisions,4.6,58,,
177571,  Ariel Plus 70 Pack - Women's,Osprey,5.0,4,306.93,410.0
182806,  Magware Magnetic Flatware - Single Set,Full Windsor,4.7,38,23.93,35.0
196293,  2+ Person Tent,Poler,3.9,29,195.93,280.0
207602,  Mini Recon Pack - Kids',The North Face,4.6,106,33.93,49.0
198659,  Hand Warmers - Multipack,Ignik,3.5,123,,
219193,  Graphic Camp Mug - 12 fl. oz.,REI Co-op,4.5,15,15.93,22.95
177500,  Ariel Plus 60 Pack - Women's,Osprey,0.0,0,291.93,390.0
187617,  Sidelines Grande Sunshade,Neso,3.4,18,93.93,134.95
205491,  Swamp Cooler Zip Dog Vest,Ruffwear,4.0,2,41.93,
188103,  Eddy+ Renew Water Bottle - 25 fl. oz.,CamelBak,3.9,35,10.93,15.0
205496,  Swamp Cooler Dog Neck Gaiter,Ruffwear,4.2,9,,
201963,  Flash 18 Pack - Pride Graphic Edition,REI Co-op,4.4,163,,
227723,  Rise Mug with Flip Lid - 14 fl. oz.,Klean Kanteen,3.7,14,22.93,32.95
161430,  HeatBank 9s Rechargeable Hand Warmer and Power Bank,Zippo,3.3,50,29.93,43.95
210592,  NanoLoft Flame Puffy Blanket,Rumpl,4.3,34,,
206260,  Butane Fuel Canister - 8 fl. oz.,Iwatani,5.0,6,1.93,3.5
139664,  Bugaboo Anodized Cup - 14 fl. oz.,GSI Outdoors,3.0,21,7.93,10.95
868221,  IsoPro Fuel Canister - 16 oz. / 450g,MSR,4.9,78,7.93,10.95
214399,  Foot Warmers - 4-Pair Multipack,Ignik,2.9,8,8.93,14.95
213938,  Small Batch Granola - 9 oz.,Flatbush Granola Company,5.0,1,6.93,9.95
217801,  Calming Lavender Natural Waterless Bath for Dogs and Cats,kin+kind,3.5,4,9.93,15.0
204832,  GigaPower Butane Fuel Canister - 250 g,Snow Peak,4.6,12,1.93,2.95
198604,  Toe Warmers - 1 Pair,Ignik,3.5,11,0.93,1.95
198409,  cupCUP Dual-Mode Insulated Cup,humangear,5.0,4,8.93,11.95
198603,  Foot Warmers - 1 Pair,Ignik,3.4,17,1.93,3.95
731088,  Heat-Ready Insoles,Hotronic,3.7,3,5.83,13.0
226148,  XLP C Slide Strap Brackets,Hotronic,5.0,1,7.93,12.0
217748,  Organic Nose and Paw Moisturizer Stick for Dogs and Cats,kin+kind,3.0,4,8.93,13.0
183360,  Essential Face Cover Kit,Outdoor Research,4.5,3052,9.83,20.0
232040,  Cascadian 1-Person Table Set,GSI Outdoors,0.0,0,8.73,17.95
198603,  Foot Warmers - 1 Pair,Ignik,3.4,17,1.93,3.95
731088,  Heat-Ready Insoles,Hotronic,3.7,3,5.83,13.0
226148,  XLP C Slide Strap Brackets,Hotronic,5.0,1,7.93,12.0
217748,  Organic Nose and Paw Moisturizer Stick for Dogs and Cats,kin+kind,3.0,4,8.93,13.0
213169,  Artist Series Face Mask - Kids',Sunday Afternoons,5.0,4,1.73,12.0
183360,  Essential Face Cover Kit,Outdoor Research,4.5,3052,9.83,20.0
213202,  UVShield Cool Face Mask - Package of 2,Sunday Afternoons,4.4,14,3.73,20.0
218992,  ECO Camp Knife,UCO,5.0,3,0.93,2.0
188462,  Standard-Mouth Stainless-Steel Cap,Hydro Flask,4.7,101,8.83,14.95
